Code,Method,Feature class,Set size,"Time, s","Memory peak, mb",Selected features ids,IoU train,IoU test,F1 train,F1 test,Selected features names,Comments
MRMR_2,MRMR,NORMP,110*,26.3,196.7,"23, 30, 54",,,,,"NORMP(B3, B4) NORMP(B9, B4) NORMP(B12, B6)",* - revomed degenerate features (constant 0). otherwise method select only 1 valid feature and the rest is degenerate ones
MRMR_3,MRMR,HueSimp,1210*,276.9,2159.6,"144, 164, 1274",,,,,"HueSimp(B3, B4, B3) HueSimp(B12, B5, B3) HueSimp(B11, B7, B12)",** - removed simmetry (not including degenerate features). otherwise method select 2 same features but with different sign
MRMR_4,MRMR,NORMP4,13310*,3083.5,23808,"144, 14545, 14567",,,,,"NORMP4(B3, B4, B3, B2) NORMP4(B5, B4, B12, B12) NORMP4(B5, B6, B12, B12)",*** - cannot control desired number of features
FSPI_2,Feature Selection with Permutation Importance,NORMP,66**,94.1,99.6,"13, 53, 54",,,,,"NORMP(B4, B3) NORMP(B11, B6)  NORMP(B12, B6)",
FSPI_3,Feature Selection with Permutation Importance,HueSimp,726**,1681.1,432,"13, 603, 416",,,,,"HueSimp(B4, B3, B2) HueSimp(B11, B12, B6) HueSimp(B11, B6, B5)",
RFA_2,Recursive Feature Addition,NORMP,121***,143.4,179.9,"23, 28, 115",,,,,"NORMP(B3, B4) NORMP(B8, B4) NORMP(B7, B12)",
RFA_3,Recursive Feature Addition,HueSimp,1331***,1511,1379.6,"53, 123, 614, 856",-,-,-,-,"HueSimp(B11, B6, B2) HueSimp(B4, B2, B3) HueSimp(B11, B2, B7) HueSimp(B11, B2, B8A)",
RFE_2,Recursive Feature Elimination,NORMP,121***,859,215.4,"23, 115",-,-,-,-,"NORMP(B3, B4) NORMP(B7, B12)",
FFS_2,Forward Feature Selection,NORMP,121,527.9,72,"23, 50, 115",,,,,"NORMP(B3, B4) NORMP(B8, B6) NORMP(B7, B12)",
FFS_3,Forward Feature Selection,HueSimp,1331,8719,792.2,"13, 625, 741",,,,,"HueSimp(B4, B3, B2) HueSimp(B11, B3, B7) HueSimp(B6, B3, B8)",
BFS_2,Backward Feature Selection,NORMP,55*,over 3600,-,-,-,-,-,-,-,
MIMI_2,Maximum Informativeness Maximum Independence,NORMP,121,25.7,17.9,"13, 43, 97",,,,,"NORMP(B4, B3) NORMP(B12, B5) NORMP(B11, B9)",
MIMI_3,Maximum Informativeness Maximum Independence,HueSimp,1331,31,17.8,"724, 708, 585",,,,,"HueSimp(B11, B12, B7) HueSimp(B6, B11, B7) HueSimp(B4, B11, B6)",
MIMI_4,Maximum Informativeness Maximum Independence,NORMP4,14641,35.3,17.8,"3975, 3895, 9827",,,,,"NORMP4(B6, B11, B12, B4) NORMP4(B3, B4, B12, B4) NORMP4(B6, B4, B6, B8A)",
