Code,Method,Feature class,Set size,"Time, s","Memory peak, mb",Selected features ids,Selected features names,* - removed duplicates and constants
MRMR_2,MRMR,NORMP,55*,17.5,206.5,"13, 30, 54","NORMP(B4, B3) NORMP(B9, B4) NORMP(B12, B6)","long - 100 generations, 1000 - polulation"
MRMR_3,MRMR,HueSimp,605*,155.9,1691.3,"145, 164, 724","HueSimp(B4, B4, B3) HueSimp(B12, B5, B3) HueSimp(B11, B12, B7)","short - 100 generations, 250 - population"
MRMR_4,MRMR,NORMP4,3025*,763.9,5454.2,"134, 6588, 13214","NORMP4(B4, B3, B3, B2), NORMP4(B12, B6, B12, B6), NORMP4(B5, B4, B12, B11)",
PL_2,Proposed (long),NORMP,121,15.2,16.2,"13, 113, 97","NORMP(B4, B3), NORMP(B5, B12), NORMP(B11, B9)",
PS_2,Proposed (short),NORMP,121,4.4,14.7,"23, 118, 113","NORMP(B3, B4), NORMP(B9, B12), NORMP(B5, B12)",
PL_3,Proposed (long),HueSimp,1331,17.3,15.8,"1263, 147, 950","HueSimp(B11, B6, B12), HueSimp(B6, B4, B3), HueSimp(B6, B11, B8A)",
PS_3,Proposed (short),HueSimp,1331,5.3,13.8,"416, 1182, 46","HueSimp(B11, B6, B5), HueSimp(B7, B9, B11), HueSimp(B4, B6, B2)",
PL_4,Proposed (long),NORMP4,14641,18.6,15.3,"13477, 11881, 11163","NORMP4(B4, B6, B3, B12), NORMP4(B3, B4, B12, B9), NORMP4(B11, B4, B6, B9)",
PS_4,Proposed (short),NORMP4,14641,5.3,13.4,"1102, 6428, 526","NORMP4(B4, B3, B11, B2), NORMP4(B6, B3, B11, B6), NORMP4(B11, B5, B6, B2)",
FFS_2,Forward Feature Selection,NORMP,55*,183.9,33,"13, 54, 76","NORMP(B4, B3), NORMP(B12, B6), NORMP(B12, B8)",
FFS_3,Forward Feature Selection,HueSimp,605*,1733.9,360.3,"13, 185, 301","HueSimp(B4, B3, B2), HueSimp(B11, B7, B3), HueSimp(B6, B7, B4)",
BFS_2,Backward Feature Selection,NORMP,55*,over 3600,-,-,-,
RFA_2,Recursive Feature Addition,NORMP,55*,37.2,58,"13, 54","NORMP(B4, B3), NORMP(B12, B6)",
RFE_2,Recursive Feature Elimination,NORMP,55*,476.1,129.5,"13, 54","NORMP(B4, B3), NORMP(B12, B6)",
PFIwRF_2,Permutation Feature Importance with Random Forest,NORMP,55*,135,96,"13, 53, 54","NORMP(B4, B3), NORMP(B11, B6), NORMP(B12, B6)",
PFIwRF_3,Permutation Feature Importance with Random Forest,HueSimp,605*,2584,360,"13, 147, 603","HueSimp(B4, B3, B2), HueSimp(B6, B4, B3), HueSimp(B11, B12, B6)",
