,image_name,image_path,mask_path,split_name,dir_name
0,g0_xoff_0_yoff_0,,,TEST,data
1,g0_xoff_0_yoff_32,,,VALID,data
2,g0_xoff_32_yoff_0,,,TRAIN,data
3,g0_xoff_32_yoff_32,,,TRAIN,data
4,g10_xoff_0_yoff_0,,,TRAIN,data
5,g11_xoff_0_yoff_0,,,TRAIN,data
6,g12_xoff_0_yoff_0,,,TRAIN,data
7,g12_xoff_0_yoff_32,,,TRAIN,data
8,g12_xoff_32_yoff_0,,,TRAIN,data
9,g12_xoff_32_yoff_32,,,TEST,data
10,g12_xoff_64_yoff_0,,,TEST,data
11,g12_xoff_64_yoff_32,,,VALID,data
12,g13_xoff_0_yoff_0,,,TRAIN,data
13,g13_xoff_32_yoff_0,,,VALID,data
14,g13_xoff_32_yoff_64,,,TRAIN,data
15,g13_xoff_64_yoff_0,,,TRAIN,data
16,g14_xoff_0_yoff_32,,,VALID,data
17,g14_xoff_0_yoff_64,,,TRAIN,data
18,g14_xoff_0_yoff_96,,,TRAIN,data
19,g14_xoff_32_yoff_0,,,TRAIN,data
20,g14_xoff_32_yoff_32,,,TRAIN,data
21,g14_xoff_32_yoff_64,,,TRAIN,data
22,g14_xoff_32_yoff_96,,,TRAIN,data
23,g14_xoff_64_yoff_32,,,VALID,data
24,g14_xoff_64_yoff_96,,,TRAIN,data
25,g14_xoff_96_yoff_32,,,TRAIN,data
26,g14_xoff_96_yoff_64,,,VALID,data
27,g14_xoff_96_yoff_96,,,TRAIN,data
28,g15_xoff_0_yoff_0,,,TRAIN,data
29,g15_xoff_0_yoff_32,,,TRAIN,data
30,g15_xoff_32_yoff_0,,,TEST,data
31,g15_xoff_32_yoff_32,,,TRAIN,data
32,g16_xoff_0_yoff_0,,,TRAIN,data
33,g16_xoff_0_yoff_32,,,TRAIN,data
34,g16_xoff_32_yoff_0,,,TRAIN,data
35,g16_xoff_32_yoff_32,,,TRAIN,data
36,g16_xoff_64_yoff_32,,,TEST,data
37,g16_xoff_64_yoff_64,,,TEST,data
38,g17_xoff_0_yoff_0,,,TRAIN,data
39,g17_xoff_0_yoff_32,,,VALID,data
40,g17_xoff_32_yoff_0,,,VALID,data
41,g17_xoff_32_yoff_32,,,TRAIN,data
42,g19_xoff_0_yoff_0,,,VALID,data
43,g19_xoff_32_yoff_0,,,TRAIN,data
44,g19_xoff_32_yoff_32,,,TEST,data
45,g19_xoff_32_yoff_64,,,TRAIN,data
46,g19_xoff_64_yoff_0,,,TRAIN,data
47,g19_xoff_64_yoff_32,,,TEST,data
48,g19_xoff_64_yoff_64,,,TEST,data
49,g1_xoff_0_yoff_0,,,TRAIN,data
50,g20_xoff_0_yoff_0,,,TRAIN,data
51,g20_xoff_0_yoff_32,,,TRAIN,data
52,g20_xoff_32_yoff_0,,,TRAIN,data
53,g20_xoff_32_yoff_32,,,TRAIN,data
54,g24_xoff_0_yoff_0,,,TEST,data
55,g25_xoff_0_yoff_0,,,TRAIN,data
56,g25_xoff_0_yoff_32,,,TRAIN,data
57,g25_xoff_32_yoff_0,,,TRAIN,data
58,g25_xoff_32_yoff_32,,,TEST,data
59,g26_xoff_0_yoff_0,,,TRAIN,data
60,g28_xoff_0_yoff_64,,,TRAIN,data
61,g28_xoff_32_yoff_0,,,TRAIN,data
62,g28_xoff_32_yoff_32,,,VALID,data
63,g28_xoff_32_yoff_64,,,TRAIN,data
64,g28_xoff_64_yoff_0,,,TEST,data
65,g28_xoff_64_yoff_32,,,TRAIN,data
66,g29_xoff_224_yoff_64,,,VALID,data
67,g29_xoff_256_yoff_64,,,TEST,data
68,g29_xoff_256_yoff_96,,,TRAIN,data
69,g2_xoff_0_yoff_0,,,VALID,data
70,g2_xoff_0_yoff_32,,,VALID,data
71,g32_xoff_0_yoff_224,,,TRAIN,data
72,g32_xoff_0_yoff_288,,,TRAIN,data
73,g32_xoff_128_yoff_128,,,TRAIN,data
74,g32_xoff_128_yoff_160,,,VALID,data
75,g32_xoff_128_yoff_192,,,TRAIN,data
76,g32_xoff_128_yoff_256,,,TEST,data
77,g32_xoff_128_yoff_288,,,TRAIN,data
78,g32_xoff_128_yoff_64,,,TRAIN,data
79,g32_xoff_128_yoff_96,,,TRAIN,data
80,g32_xoff_160_yoff_0,,,TRAIN,data
81,g32_xoff_160_yoff_128,,,VALID,data
82,g32_xoff_160_yoff_160,,,TRAIN,data
83,g32_xoff_160_yoff_192,,,TEST,data
84,g32_xoff_160_yoff_224,,,TEST,data
85,g32_xoff_160_yoff_256,,,TRAIN,data
86,g32_xoff_160_yoff_288,,,TRAIN,data
87,g32_xoff_160_yoff_32,,,TRAIN,data
88,g32_xoff_160_yoff_64,,,TRAIN,data
89,g32_xoff_160_yoff_96,,,TRAIN,data
90,g32_xoff_192_yoff_0,,,TRAIN,data
91,g32_xoff_192_yoff_128,,,TRAIN,data
92,g32_xoff_192_yoff_160,,,TEST,data
93,g32_xoff_192_yoff_192,,,TRAIN,data
94,g32_xoff_192_yoff_224,,,TEST,data
95,g32_xoff_192_yoff_256,,,TRAIN,data
96,g32_xoff_192_yoff_64,,,TEST,data
97,g32_xoff_192_yoff_96,,,TRAIN,data
98,g32_xoff_224_yoff_0,,,TEST,data
99,g32_xoff_224_yoff_128,,,VALID,data
100,g32_xoff_224_yoff_160,,,TRAIN,data
101,g32_xoff_224_yoff_192,,,TRAIN,data
102,g32_xoff_224_yoff_256,,,VALID,data
103,g32_xoff_224_yoff_32,,,TRAIN,data
104,g32_xoff_224_yoff_64,,,TRAIN,data
105,g32_xoff_224_yoff_96,,,TRAIN,data
106,g32_xoff_256_yoff_0,,,TRAIN,data
107,g32_xoff_256_yoff_128,,,TRAIN,data
108,g32_xoff_256_yoff_160,,,TRAIN,data
109,g32_xoff_256_yoff_224,,,TRAIN,data
110,g32_xoff_256_yoff_256,,,TRAIN,data
111,g32_xoff_256_yoff_288,,,TRAIN,data
112,g32_xoff_256_yoff_64,,,VALID,data
113,g32_xoff_256_yoff_96,,,TRAIN,data
114,g32_xoff_288_yoff_0,,,TRAIN,data
115,g32_xoff_288_yoff_128,,,TRAIN,data
116,g32_xoff_288_yoff_160,,,VALID,data
117,g32_xoff_288_yoff_224,,,TRAIN,data
118,g32_xoff_288_yoff_256,,,TRAIN,data
119,g32_xoff_288_yoff_288,,,TRAIN,data
120,g32_xoff_288_yoff_32,,,TEST,data
121,g32_xoff_288_yoff_64,,,TEST,data
122,g32_xoff_288_yoff_96,,,TRAIN,data
123,g32_xoff_320_yoff_128,,,VALID,data
124,g32_xoff_320_yoff_160,,,TEST,data
125,g32_xoff_320_yoff_192,,,TRAIN,data
126,g32_xoff_320_yoff_224,,,VALID,data
127,g32_xoff_320_yoff_256,,,TRAIN,data
128,g32_xoff_320_yoff_288,,,TRAIN,data
129,g32_xoff_320_yoff_32,,,TRAIN,data
130,g32_xoff_32_yoff_192,,,VALID,data
131,g32_xoff_32_yoff_224,,,TRAIN,data
132,g32_xoff_32_yoff_288,,,VALID,data
133,g32_xoff_352_yoff_128,,,TRAIN,data
134,g32_xoff_352_yoff_192,,,TRAIN,data
135,g32_xoff_352_yoff_224,,,TRAIN,data
136,g32_xoff_352_yoff_256,,,TRAIN,data
137,g32_xoff_352_yoff_288,,,VALID,data
138,g32_xoff_352_yoff_32,,,VALID,data
139,g32_xoff_352_yoff_64,,,TEST,data
