,image_name,image_path,mask_path,split_name,dir_name
0,g0_xoff_0_yoff_0,,,VALID,data
1,g12_xoff_0_yoff_0,,,TEST,data
2,g13_xoff_0_yoff_0,,,TRAIN,data
3,g14_xoff_0_yoff_0,,,TRAIN,data
4,g14_xoff_0_yoff_64,,,TRAIN,data
5,g14_xoff_64_yoff_0,,,VALID,data
6,g14_xoff_64_yoff_64,,,TRAIN,data
7,g15_xoff_0_yoff_0,,,TRAIN,data
8,g16_xoff_0_yoff_0,,,VALID,data
9,g17_xoff_0_yoff_0,,,TRAIN,data
10,g19_xoff_0_yoff_0,,,TRAIN,data
11,g20_xoff_0_yoff_0,,,TRAIN,data
12,g25_xoff_0_yoff_0,,,TRAIN,data
13,g28_xoff_0_yoff_0,,,TRAIN,data
14,g29_xoff_192_yoff_64,,,TRAIN,data
15,g29_xoff_256_yoff_64,,,TRAIN,data
16,g32_xoff_0_yoff_192,,,TRAIN,data
17,g32_xoff_0_yoff_256,,,TRAIN,data
18,g32_xoff_128_yoff_0,,,TRAIN,data
19,g32_xoff_128_yoff_128,,,TRAIN,data
20,g32_xoff_128_yoff_192,,,VALID,data
21,g32_xoff_128_yoff_256,,,TRAIN,data
22,g32_xoff_128_yoff_64,,,TRAIN,data
23,g32_xoff_192_yoff_0,,,VALID,data
24,g32_xoff_192_yoff_128,,,TRAIN,data
25,g32_xoff_192_yoff_192,,,TRAIN,data
26,g32_xoff_192_yoff_256,,,VALID,data
27,g32_xoff_192_yoff_64,,,TRAIN,data
28,g32_xoff_256_yoff_0,,,TRAIN,data
29,g32_xoff_256_yoff_128,,,VALID,data
30,g32_xoff_256_yoff_192,,,VALID,data
31,g32_xoff_256_yoff_256,,,TRAIN,data
32,g32_xoff_256_yoff_64,,,TRAIN,data
33,g32_xoff_320_yoff_0,,,TRAIN,data
34,g32_xoff_320_yoff_128,,,TRAIN,data
35,g32_xoff_320_yoff_192,,,TRAIN,data
36,g32_xoff_320_yoff_256,,,TRAIN,data
37,g32_xoff_320_yoff_64,,,TRAIN,data
38,g32_xoff_384_yoff_128,,,VALID,data
39,g32_xoff_384_yoff_192,,,TEST,data
40,g32_xoff_384_yoff_256,,,TRAIN,data
